1 9 5 4 6 3 7 2 17 24 21 29 22 30 23 18 33 41 44 36 38 35 42 34 49 57 53 61 54 62 58 50;1 4 6 2 17 21 22 23 33 36 35 34 49 53 62 58;1 2 17 23 36 35 49 62;2 17 36 49;17 36;17;
1 8 5 4 11 3 10 2 17 25 21 20 22 30 23 18 33 41 37 45 38 35 39 34 49 57 60 52 59 51 55 50;1 4 11 2 17 20 30 23 33 37 35 34 49 52 51 50;4 2 20 23 37 35 49 50;2 20 37 49;2 49;49;
1 8 5 13 11 3 7 2 17 25 28 20 22 19 23 18 33 40 37 36 43 35 42 34 49 56 60 52 59 51 55 50;1 5 11 2 17 20 19 18 33 37 35 34 49 52 51 55;1 2 17 18 33 35 49 51;1 18 35 49;1 35;1;
1 9 12 4 11 3 7 2 17 24 21 20 27 19 26 18 33 41 37 45 43 35 42 47 49 56 53 52 54 51 55 63;1 4 3 2 17 20 19 18 41 45 43 42 49 53 51 55;1 3 17 18 45 42 53 51;3 17 42 53;17 53;17;
1 8 12 4 11 3 7 2 17 25 28 29 27 30 26 18 33 40 44 45 38 35 39 34 49 56 53 61 59 51 55 50;8 4 3 2 17 29 27 18 33 44 38 39 49 53 51 50;4 2 17 18 33 39 49 51;4 17 33 49;4 49;49;
1 8 5 4 6 3 7 2 17 25 21 29 27 19 23 18 33 40 37 36 38 35 39 34 49 56 53 52 54 62 55 50;1 4 3 2 17 21 19 23 33 36 38 39 49 53 54 50;1 3 21 19 33 38 49 50;1 21 38 50;1 50;50;
1 9 12 4 6 3 10 2 17 25 21 20 22 19 23 18 33 40 37 45 43 35 39 47 49 56 60 61 59 51 58 50;1 4 3 2 17 20 19 23 33 37 35 47 49 60 51 50;1 2 20 23 33 35 49 51;1 20 35 49;1 49;49;
1 8 12 13 6 3 10 2 17 24 28 29 27 30 23 18 33 40 37 45 38 35 39 34 49 56 53 52 59 51 55 50;1 13 3 2 17 29 27 18 33 37 35 34 49 53 51 55;1 3 17 27 33 35 49 51;3 17 35 49;17 49;17;
1 9 5 13 11 3 7 2 17 24 21 29 22 19 23 18 33 40 44 45 43 35 39 34 49 56 53 52 54 62 55 50;1 5 3 2 17 21 19 18 33 45 35 34 49 52 62 50;5 2 17 18 33 35 49 50;2 17 33 49;2 49;49;
16 8 12 4 6 3 7 2 17 25 28 20 22 19 23 18 33 41 44 36 38 46 39 34 49 56 60 52 59 51 55 50;8 4 3 7 17 28 19 23 33 36 38 34 49 52 51 55;8 7 17 19 33 38 52 51;7 17 33 51;17 51;17;
1 8 5 4 6 3 7 2 17 24 28 20 22 19 26 18 33 41 37 36 43 35 42 34 49 57 53 52 54 51 55 50;1 5 3 2 17 20 22 18 33 37 35 42 49 52 54 50;1 2 20 22 33 35 49 50;1 22 35 49;1 49;49;
16 9 5 4 6 3 7 2 17 25 21 20 22 19 23 18 33 40 37 45 38 35 42 34 49 57 53 52 54 51 58 50;16 4 6 2 17 20 19 23 40 37 35 34 49 53 54 58;16 2 17 19 37 34 49 54;2 17 34 49;17 49;49;
1 8 5 4 6 3 10 2 17 25 28 20 22 19 26 18 33 40 44 36 43 35 39 34 49 57 53 52 54 62 55 50;1 4 3 2 17 20 19 18 40 36 35 34 49 52 62 50;4 3 17 19 36 34 49 50;4 17 36 49;4 49;49;
1 9 12 4 11 3 7 2 32 25 21 20 22 30 26 18 33 41 44 36 43 35 42 34 49 56 53 52 54 51 58 63;1 4 3 2 25 20 30 26 33 36 43 34 49 52 54 58;1 2 20 26 33 43 49 54;2 26 33 49;2 49;2;
1 8 5 13 6 3 7 2 17 24 21 20 22 19 23 18 33 40 37 36 38 35 42 34 49 57 53 61 54 51 58 50;1 5 3 7 17 20 22 23 33 37 35 34 49 53 51 50;5 3 17 22 33 34 49 51;5 17 33 49;17 33;17;
1 8 5 13 6 3 7 2 17 24 28 20 27 19 26 18 33 41 44 36 38 35 42 34 49 57 53 61 54 51 58 50;1 5 6 7 17 20 19 18 33 44 38 34 49 53 51 50;5 7 17 18 33 34 49 51;7 17 34 49;17 49;49;
1 9 5 4 6 3 7 15 17 24 28 29 22 19 23 18 33 40 37 36 38 46 39 34 49 56 53 52 59 62 55 63;1 5 3 7 17 28 19 18 33 36 38 34 49 53 59 55;1 7 17 19 33 38 49 55;1 19 33 49;1 33;1;
1 9 5 4 11 3 7 2 17 25 28 20 22 30 23 18 33 41 37 36 38 35 42 34 49 57 53 61 54 51 55 50;1 4 11 2 17 20 30 23 33 37 35 34 49 61 51 50;1 2 20 30 33 34 49 51;1 30 34 51;30 34;34;
1 8 5 4 6 3 10 2 17 25 21 20 27 19 23 18 33 40 37 36 43 46 42 34 49 56 53 52 59 51 55 63;8 5 3 2 17 20 19 18 33 36 46 34 49 52 51 55;8 3 17 18 33 34 52 55;3 17 33 52;17 33;33;
1 9 5 13 6 3 10 15 17 25 21 20 22 19 26 18 33 40 37 36 43 46 39 34 49 56 60 52 54 62 58 50;9 5 6 10 17 21 22 26 33 36 43 34 49 52 54 50;5 10 17 22 33 34 49 50;10 17 33 50;10 33;33;
1 9 5 4 6 3 10 2 17 25 21 20 27 30 26 18 33 40 37 45 38 35 39 34 49 57 53 61 54 62 55 50;1 4 3 10 17 21 30 18 33 37 35 34 49 53 54 50;1 3 17 18 33 34 53 50;1 18 33 50;18 50;18;
1 8 5 4 6 3 10 15 17 25 21 20 22 19 26 18 33 41 37 36 43 46 39 34 49 56 53 52 54 62 55 50;1 5 6 10 17 21 19 26 33 36 46 39 49 53 54 55;1 10 17 19 33 46 49 54;10 17 33 54;17 33;17;
1 9 5 4 6 14 7 2 17 25 21 29 22 19 23 31 33 40 37 36 43 35 39 47 49 57 53 61 54 51 58 63;1 4 14 2 25 21 19 31 40 37 35 39 49 61 54 58;1 2 21 19 37 39 49 58;1 19 37 49;1 49;1;
1 9 5 4 6 3 10 2 17 25 21 20 27 19 23 31 33 40 37 45 43 35 42 34 49 57 60 52 54 51 58 50;1 5 6 2 17 20 19 23 33 37 43 34 49 52 51 50;1 2 20 19 33 34 49 50;1 19 33 49;19 33;19;
1 9 5 4 11 3 7 2 17 25 28 29 22 19 26 18 33 41 44 36 38 46 39 34 49 57 53 52 59 51 55 50;1 5 3 2 17 28 19 18 33 44 46 34 57 52 51 55;1 3 17 19 33 34 52 55;1 17 33 52;1 33;1;
1 9 5 4 6 14 7 2 17 24 28 20 22 19 26 18 33 41 37 45 38 35 39 34 64 57 53 52 54 62 55 63;1 4 6 2 17 20 19 18 33 37 35 34 57 53 54 63;4 2 17 19 33 34 53 54;2 19 34 54;19 34;19;
1 9 5 13 6 3 10 2 17 24 21 20 22 19 23 18 33 40 37 36 43 35 42 34 49 56 53 52 54 51 58 50;1 13 6 2 17 21 19 23 33 36 35 42 56 52 54 50;1 2 17 19 36 35 52 50;1 17 36 50;1 50;1;
1 8 5 4 11 3 10 2 17 24 21 20 22 19 23 18 33 40 44 36 43 35 39 34 49 56 53 52 54 51 58 63;1 4 3 2 24 21 19 23 33 36 35 34 49 52 51 58;1 2 24 19 36 35 49 58;1 19 36 49;1 49;49;
1 8 5 4 6 3 7 2 17 24 21 20 22 30 23 31 33 41 37 36 38 35 42 34 49 56 53 52 54 51 58 63;1 4 3 7 17 21 22 23 33 36 38 34 49 52 51 58;4 7 21 23 33 34 49 51;7 21 33 49;7 33;33;
16 9 5 13 6 14 10 2 17 24 28 29 22 30 23 18 33 41 37 45 43 35 42 34 49 57 60 52 54 51 58 50;9 5 6 2 17 28 30 23 41 37 35 34 49 52 51 50;5 2 17 23 41 34 49 50;5 17 41 49;17 49;49;
1 9 12 4 6 14 7 2 17 24 21 20 22 19 23 18 33 41 37 36 43 35 39 34 49 57 60 52 54 51 55 50;1 4 6 2 24 21 19 18 33 37 35 34 49 52 54 55;1 6 21 18 33 35 52 54;1 18 33 54;18 33;33;
1 8 5 4 6 3 7 2 17 24 21 20 22 19 26 18 33 40 44 45 38 35 39 34 49 56 53 52 59 62 58 50;1 5 3 7 17 21 19 18 33 44 35 34 49 52 62 50;1 7 17 19 44 35 49 50;1 17 35 49;17 49;49;
1 9 5 13 6 3 10 2 17 25 21 20 22 19 26 18 33 40 44 45 38 35 42 34 49 57 53 52 54 51 58 50;9 13 6 2 17 20 22 26 33 44 38 34 49 53 54 50;9 2 20 22 33 34 53 50;2 22 33 53;2 33;33;
1 9 12 4 6 3 10 2 17 25 21 29 22 19 26 18 33 41 37 36 38 35 39 34 49 57 53 52 59 51 55 50;1 4 3 2 17 21 19 26 33 36 35 34 49 52 51 50;4 2 17 19 36 34 49 50;2 17 34 49;2 34;34;
